company_id,ticker,company_name,sector,industry,description,market_cap_b,revenue_b,beta,pe_ratio,supply_chain_sensitivity,investment_usd
21,SSUR,Rise Dynamics Inc.,Information Technology,Software,Rise Dynamics develops enterprise SaaS platforms for workflow automation,384.51,49.3,1.48,49.7,HIGH,1000000
22,BPNW,Horizon Care Inc.,Information Technology,Semiconductors,Horizon Care designs high-performance GPU and CPU semiconductor chips,185.52,81.84,1.52,36.2,MEDIUM,1000000
23,KYO,Sterling Resources Inc.,Information Technology,Hardware & Equipment,Sterling Resources manufactures networking hardware and switching equipment,0.5,0.1,1.52,39.8,HIGH,1000000
24,FSGK,Vibe Select Inc.,Information Technology,IT Services,Vibe Select provides managed cloud and IT outsourcing services,80.91,0.6,1.32,52.9,HIGH,1000000
25,BFG,Nova Trust Inc.,Information Technology,Cloud Infrastructure,Nova Trust operates hyperscale data centre infrastructure,33.17,72.4,1.6,43.6,HIGH,1000000
26,PZRA,South Health Inc.,Information Technology,Software,South Health builds AI-powered analytics and business intelligence tools,193.0,0.1,1.53,34.5,MEDIUM,1000000
27,HPS,Jade Shield Inc.,Information Technology,Semiconductors,Jade Shield supplies semiconductor fabrication equipment,0.5,27.82,1.24,27.5,MEDIUM,1000000
28,QVB,Nord Stream Inc.,Information Technology,Hardware & Equipment,Nord Stream develops cybersecurity software and threat detection systems,193.91,65.88,1.97,74.8,MEDIUM,1000000
29,CYR,High Point Inc.,Information Technology,IT Services,High Point provides ERP and supply chain management software,0.5,2.83,1.68,41.9,HIGH,1000000
30,XUWX,Jade Shield Inc.,Information Technology,Cloud Infrastructure,Jade Shield designs mobile processors and system-on-chip solutions,158.11,0.1,1.4,46.4,HIGH,1000000
31,YGE,Ideal Trust Inc.,Information Technology,Software,Ideal Trust develops enterprise SaaS platforms for workflow automation,390.71,0.1,1.24,43.9,HIGH,1000000
32,GUC,Bright Tower Inc.,Information Technology,Semiconductors,Bright Tower designs high-performance GPU and CPU semiconductor chips,241.7,0.1,1.2,40.2,MEDIUM,1000000
33,FRK,Micro Track Inc.,Information Technology,Hardware & Equipment,Micro Track manufactures networking hardware and switching equipment,0.5,68.02,1.87,51.1,MEDIUM,1000000
34,YCZE,Main Capital Inc.,Information Technology,IT Services,Main Capital provides managed cloud and IT outsourcing services,56.68,0.1,1.65,50.1,MEDIUM,1000000
35,KOG,Wide Media Inc.,Information Technology,Cloud Infrastructure,Wide Media operates hyperscale data centre infrastructure,0.5,0.93,2.08,38.4,MEDIUM,1000000
36,JBR,Nord Sciences Inc.,Information Technology,Software,Nord Sciences builds AI-powered analytics and business intelligence tools,48.07,0.1,1.17,70.2,HIGH,1000000
37,ISOE,Vibe Works Inc.,Information Technology,Semiconductors,Vibe Works supplies semiconductor fabrication equipment,199.23,77.63,1.04,58.6,HIGH,1000000
38,HFU,Titan Select Inc.,Information Technology,Hardware & Equipment,Titan Select develops cybersecurity software and threat detection systems,0.5,0.1,1.26,55.5,MEDIUM,1000000
39,RHR,Trust Hub Inc.,Information Technology,IT Services,Trust Hub provides ERP and supply chain management software,96.37,62.91,2.02,62.6,MEDIUM,1000000
40,AGM,Echo Networks Inc.,Information Technology,Cloud Infrastructure,Echo Networks designs mobile processors and system-on-chip solutions,185.63,92.54,1.04,51.0,HIGH,1000000
41,DRX,First Stream Inc.,Information Technology,Software,First Stream develops enterprise SaaS platforms for workflow automation,313.24,4.23,1.23,43.1,HIGH,1000000
42,XDD,Rapid Services Inc.,Information Technology,Semiconductors,Rapid Services designs high-performance GPU and CPU semiconductor chips,0.5,96.5,1.02,33.5,HIGH,1000000
43,VOXT,Red Net Inc.,Information Technology,Hardware & Equipment,Red Net manufactures networking hardware and switching equipment,0.5,0.1,1.39,51.5,HIGH,1000000
44,HCH,Metro Hub Inc.,Information Technology,IT Services,Metro Hub provides managed cloud and IT outsourcing services,173.6,47.7,1.24,58.3,MEDIUM,1000000
45,BKO,Pivot Care Inc.,Information Technology,Cloud Infrastructure,Pivot Care operates hyperscale data centre infrastructure,298.96,0.1,1.48,56.1,MEDIUM,1000000
46,MYHK,Pivot Point Inc.,Information Technology,Software,Pivot Point builds AI-powered analytics and business intelligence tools,0.5,0.1,1.39,15.4,HIGH,1000000
47,MKRU,Wise Edge Inc.,Information Technology,Semiconductors,Wise Edge supplies semiconductor fabrication equipment,325.39,12.53,1.76,5.0,LOW,1000000
48,CLW,Insight Care Inc.,Information Technology,Hardware & Equipment,Insight Care develops cybersecurity software and threat detection systems,0.5,32.74,1.38,54.0,MEDIUM,1000000
49,TVGC,Beacon Source Inc.,Information Technology,IT Services,Beacon Source provides ERP and supply chain management software,0.5,78.64,0.15,19.0,MEDIUM,1000000
50,TYF,Beacon Sciences Inc.,Information Technology,Cloud Infrastructure,Beacon Sciences designs mobile processors and system-on-chip solutions,0.5,0.1,1.49,45.6,HIGH,1000000
51,TEPT,Forge Stream Inc.,Information Technology,Software,Forge Stream develops enterprise SaaS platforms for workflow automation,115.5,27.16,1.73,5.0,HIGH,1000000
52,KSBR,Ultra Flow Inc.,Information Technology,Semiconductors,Ultra Flow designs high-performance GPU and CPU semiconductor chips,239.63,0.1,1.81,56.5,HIGH,1000000
53,JLJ,Royal Select Inc.,Information Technology,Hardware & Equipment,Royal Select manufactures networking hardware and switching equipment,121.47,0.1,1.08,67.4,LOW,1000000
54,SLTZ,Metro Sciences Inc.,Information Technology,IT Services,Metro Sciences provides managed cloud and IT outsourcing services,0.5,25.53,1.53,17.1,MEDIUM,1000000
55,IGYH,Quantum Flow Inc.,Information Technology,Cloud Infrastructure,Quantum Flow operates hyperscale data centre infrastructure,0.5,0.1,1.4,14.6,HIGH,1000000
56,EFUI,Swift Signal Inc.,Information Technology,Software,Swift Signal builds AI-powered analytics and business intelligence tools,0.5,16.6,1.68,22.3,HIGH,1000000
57,MTRQ,Rise Net Inc.,Information Technology,Semiconductors,Rise Net supplies semiconductor fabrication equipment,134.47,95.49,1.44,30.3,HIGH,1000000
58,MNLT,Nord IQ Inc.,Information Technology,Hardware & Equipment,Nord IQ develops cybersecurity software and threat detection systems,79.11,45.35,1.33,24.3,HIGH,1000000
59,TYR,Ion Equities Inc.,Information Technology,IT Services,Ion Equities provides ERP and supply chain management software,0.5,0.1,1.38,23.6,MEDIUM,1000000
60,VHJ,Modern Analytics Inc.,Information Technology,Cloud Infrastructure,Modern Analytics designs mobile processors and system-on-chip solutions,144.25,24.72,1.36,29.0,HIGH,1000000
61,QTC,Atlas Pro Inc.,Information Technology,Software,Atlas Pro develops enterprise SaaS platforms for workflow automation,0.5,129.24,1.33,58.1,HIGH,1000000
62,CBMP,Vital Care Inc.,Information Technology,Semiconductors,Vital Care designs high-performance GPU and CPU semiconductor chips,160.12,13.37,1.72,64.8,HIGH,1000000
63,PUFN,Quantum Vision Inc.,Information Technology,Hardware & Equipment,Quantum Vision manufactures networking hardware and switching equipment,250.4,17.33,0.84,50.6,MEDIUM,1000000
64,YFF,Vertex Cloud Inc.,Information Technology,IT Services,Vertex Cloud provides managed cloud and IT outsourcing services,93.04,21.66,1.5,47.3,HIGH,1000000
65,HGSS,Quest Cast Inc.,Information Technology,Cloud Infrastructure,Quest Cast operates hyperscale data centre infrastructure,145.96,0.1,1.14,5.0,MEDIUM,1000000
66,LOQ,Metro Technologies Inc.,Information Technology,Software,Metro Technologies builds AI-powered analytics and business intelligence tools,151.17,0.1,1.47,42.9,MEDIUM,1000000
67,LMHK,Metro Partners Inc.,Information Technology,Semiconductors,Metro Partners supplies semiconductor fabrication equipment,0.5,0.1,1.09,33.2,MEDIUM,1000000
68,AFRW,Summit Works Inc.,Information Technology,Hardware & Equipment,Summit Works develops cybersecurity software and threat detection systems,193.7,0.1,1.91,42.0,MEDIUM,1000000
69,MQX,Insight Reach Inc.,Information Technology,IT Services,Insight Reach provides ERP and supply chain management software,301.12,9.11,0.89,50.9,HIGH,1000000
70,RWIS,Mid Services Inc.,Information Technology,Cloud Infrastructure,Mid Services designs mobile processors and system-on-chip solutions,0.5,2.95,1.92,26.9,HIGH,1000000
71,DUWV,Apex Services Inc.,Information Technology,Software,Apex Services develops enterprise SaaS platforms for workflow automation,307.89,40.19,1.63,23.3,MEDIUM,1000000
72,QTFO,Mid Net Inc.,Information Technology,Semiconductors,Mid Net designs high-performance GPU and CPU semiconductor chips,357.41,32.72,1.65,23.9,MEDIUM,1000000
73,IAK,Laser Therapeutics Inc.,Information Technology,Hardware & Equipment,Laser Therapeutics manufactures networking hardware and switching equipment,359.52,83.56,1.69,27.6,HIGH,1000000
74,NHVZ,Lumen Networks Inc.,Information Technology,IT Services,Lumen Networks provides managed cloud and IT outsourcing services,290.15,0.1,1.12,32.4,MEDIUM,1000000
75,HUK,Royal Global Inc.,Information Technology,Cloud Infrastructure,Royal Global operates hyperscale data centre infrastructure,0.5,83.42,1.5,24.7,LOW,1000000
76,WLMI,Solid Link Inc.,Health Care,Pharmaceuticals,Solid Link develops and commercialises oncology therapeutics,86.51,47.82,0.59,26.9,MEDIUM,1000000
77,WKI,Red Smart Inc.,Health Care,Biotechnology,Red Smart manufactures surgical robotics and minimally invasive devices,181.48,8.78,1.01,17.9,LOW,1000000
78,MAN,Summit Hub Inc.,Health Care,Medical Devices,Summit Hub operates a national network of diagnostic imaging centres,0.5,23.19,1.15,6.2,MEDIUM,1000000
79,KRE,Red Systems Inc.,Health Care,Health Services,Red Systems produces generic and branded pharmaceutical formulations,0.5,0.1,1.02,21.9,LOW,1000000
80,YQXM,Solid Capital Inc.,Health Care,Diagnostics & Tools,Solid Capital provides clinical research and drug development services,13.62,0.1,0.66,18.1,MEDIUM,1000000
81,LCQ,Evolve Net Inc.,Health Care,Pharmaceuticals,Evolve Net develops mRNA-based vaccine platforms,109.68,16.0,0.91,32.8,HIGH,1000000
82,JDNO,Insight Edge Inc.,Health Care,Biotechnology,Insight Edge manufactures continuous glucose monitoring devices,0.5,37.5,0.96,38.7,MEDIUM,1000000
83,GQL,Vibe Analytics Inc.,Health Care,Medical Devices,Vibe Analytics provides pharmacy benefit management services,16.43,42.57,1.03,16.0,HIGH,1000000
84,ZHZR,Quest Tower Inc.,Health Care,Health Services,Quest Tower develops gene therapy treatments for rare diseases,62.97,2.54,0.49,67.6,MEDIUM,1000000
85,OZHZ,Vertex Logic Inc.,Health Care,Diagnostics & Tools,Vertex Logic supplies laboratory diagnostics equipment and reagents,0.5,0.1,0.75,39.3,HIGH,1000000
86,VXUF,Omni Finance Inc.,Health Care,Pharmaceuticals,Omni Finance develops and commercialises oncology therapeutics,0.5,0.1,0.57,11.4,LOW,1000000
87,QXQ,Mono Systems Inc.,Health Care,Biotechnology,Mono Systems manufactures surgical robotics and minimally invasive devices,36.15,1.2,0.49,29.7,MEDIUM,1000000
88,EDOZ,Silver Partners Inc.,Health Care,Medical Devices,Silver Partners operates a national network of diagnostic imaging centres,33.46,58.61,1.2,12.3,MEDIUM,1000000
89,TICZ,Hawk Sphere Inc.,Health Care,Health Services,Hawk Sphere produces generic and branded pharmaceutical formulations,3.92,0.1,1.28,19.0,LOW,1000000
90,CKGD,Optimal Shield Inc.,Health Care,Diagnostics & Tools,Optimal Shield provides clinical research and drug development services,0.5,36.25,0.8,14.6,MEDIUM,1000000
91,MQY,Next Vision Inc.,Health Care,Pharmaceuticals,Next Vision develops mRNA-based vaccine platforms,0.5,0.1,0.52,12.9,LOW,1000000
92,DBAZ,Forge Corp Inc.,Health Care,Biotechnology,Forge Corp manufactures continuous glucose monitoring devices,0.5,27.5,0.83,38.8,LOW,1000000
93,PSXR,Rise Sciences Inc.,Health Care,Medical Devices,Rise Sciences provides pharmacy benefit management services,115.35,16.91,0.28,40.1,MEDIUM,1000000
94,WCR,Solid Ventures Inc.,Health Care,Health Services,Solid Ventures develops gene therapy treatments for rare diseases,0.5,21.69,1.03,22.4,HIGH,1000000
95,CFQZ,Crown Systems Inc.,Health Care,Diagnostics & Tools,Crown Systems supplies laboratory diagnostics equipment and reagents,52.48,0.1,0.42,55.1,LOW,1000000
96,PVG,Hawk Systems Inc.,Health Care,Pharmaceuticals,Hawk Systems develops and commercialises oncology therapeutics,68.16,1.14,0.82,23.5,HIGH,1000000
97,UCWD,Omni Systems Inc.,Health Care,Biotechnology,Omni Systems manufactures surgical robotics and minimally invasive devices,102.52,13.94,0.88,8.5,HIGH,1000000
98,NTMU,Safe Reach Inc.,Health Care,Medical Devices,Safe Reach operates a national network of diagnostic imaging centres,62.43,9.5,1.03,33.0,LOW,1000000
99,LZBM,Pinnacle Media Inc.,Health Care,Health Services,Pinnacle Media produces generic and branded pharmaceutical formulations,66.36,6.75,0.69,11.2,HIGH,1000000
100,BHQ,South Smart Inc.,Health Care,Diagnostics & Tools,South Smart provides clinical research and drug development services,0.5,6.75,0.43,58.5,MEDIUM,1000000
101,UCR,South Solutions Inc.,Health Care,Pharmaceuticals,South Solutions develops mRNA-based vaccine platforms,103.07,0.1,0.98,14.5,LOW,1000000
102,KCLR,Optimal World Inc.,Health Care,Biotechnology,Optimal World manufactures continuous glucose monitoring devices,177.81,31.33,1.13,46.2,HIGH,1000000
103,TJD,Delta Reach Inc.,Health Care,Medical Devices,Delta Reach provides pharmacy benefit management services,0.5,0.1,1.11,19.9,LOW,1000000
104,WSZP,Omni Corp Inc.,Health Care,Health Services,Omni Corp develops gene therapy treatments for rare diseases,8.47,0.1,0.65,20.1,HIGH,1000000
105,CHFL,Spark Stream Inc.,Health Care,Diagnostics & Tools,Spark Stream supplies laboratory diagnostics equipment and reagents,28.48,7.49,0.94,9.0,LOW,1000000
106,AHTX,Nova Analytics Inc.,Health Care,Pharmaceuticals,Nova Analytics develops and commercialises oncology therapeutics,23.29,4.07,0.86,30.1,LOW,1000000
107,CNJ,Quest Hub Inc.,Health Care,Biotechnology,Quest Hub manufactures surgical robotics and minimally invasive devices,0.5,65.17,0.92,32.7,MEDIUM,1000000
108,ETB,Edge Global Inc.,Health Care,Medical Devices,Edge Global operates a national network of diagnostic imaging centres,0.5,0.1,0.55,28.4,MEDIUM,1000000
109,ICR,Summit Optima Inc.,Health Care,Health Services,Summit Optima produces generic and branded pharmaceutical formulations,82.52,82.91,0.59,22.3,HIGH,1000000
110,HFD,Macro Group Inc.,Health Care,Diagnostics & Tools,Macro Group provides clinical research and drug development services,39.07,0.1,0.79,25.3,MEDIUM,1000000
111,NVU,Echo Logic Inc.,Health Care,Pharmaceuticals,Echo Logic develops mRNA-based vaccine platforms,219.08,18.62,0.85,21.3,LOW,1000000
112,OSKC,Beacon World Inc.,Health Care,Biotechnology,Beacon World manufactures continuous glucose monitoring devices,0.5,0.1,0.6,43.2,LOW,1000000
113,LCL,Pinnacle Path Inc.,Health Care,Medical Devices,Pinnacle Path provides pharmacy benefit management services,38.51,0.1,1.25,35.5,LOW,1000000
114,NCN,Nova IQ Inc.,Health Care,Health Services,Nova IQ develops gene therapy treatments for rare diseases,63.34,0.1,0.73,5.0,HIGH,1000000
115,EDT,Echo Energy Inc.,Health Care,Diagnostics & Tools,Echo Energy supplies laboratory diagnostics equipment and reagents,0.5,19.23,1.14,18.9,MEDIUM,1000000
116,WQDB,Pulse Secure Inc.,Health Care,Pharmaceuticals,Pulse Secure develops and commercialises oncology therapeutics,129.32,22.28,0.73,33.1,MEDIUM,1000000
117,AJHQ,Ember Sciences Inc.,Health Care,Biotechnology,Ember Sciences manufactures surgical robotics and minimally invasive devices,0.5,0.1,0.6,17.4,LOW,1000000
118,LVQ,Next Resources Inc.,Health Care,Medical Devices,Next Resources operates a national network of diagnostic imaging centres,74.61,16.43,0.66,25.0,LOW,1000000
119,ZCQB,Wide Net Inc.,Health Care,Health Services,Wide Net produces generic and branded pharmaceutical formulations,0.5,0.1,1.1,23.2,LOW,1000000
120,KIPU,United Hub Inc.,Health Care,Diagnostics & Tools,United Hub provides clinical research and drug development services,11.55,0.1,0.9,26.2,LOW,1000000
121,IPD,Nova Health Inc.,Health Care,Pharmaceuticals,Nova Health develops mRNA-based vaccine platforms,0.5,33.11,1.18,20.3,LOW,1000000
122,OQID,White Therapeutics Inc.,Health Care,Biotechnology,White Therapeutics manufactures continuous glucose monitoring devices,70.21,6.21,1.61,10.6,LOW,1000000
123,AIYI,Rise Enterprises Inc.,Health Care,Medical Devices,Rise Enterprises provides pharmacy benefit management services,176.54,34.48,0.82,30.5,HIGH,1000000
124,RWQ,Swift Link Inc.,Health Care,Health Services,Swift Link develops gene therapy treatments for rare diseases,0.64,0.1,0.89,30.2,LOW,1000000
125,BJSZ,True Group Inc.,Health Care,Diagnostics & Tools,True Group supplies laboratory diagnostics equipment and reagents,45.94,30.39,0.81,5.0,LOW,1000000
126,XFRO,Pulse Networks Inc.,Health Care,Pharmaceuticals,Pulse Networks develops and commercialises oncology therapeutics,0.5,11.52,0.85,5.0,HIGH,1000000
127,UDG,United One Inc.,Health Care,Biotechnology,United One manufactures surgical robotics and minimally invasive devices,163.67,41.05,1.02,13.1,LOW,1000000
128,CELN,Pro Cloud Inc.,Health Care,Medical Devices,Pro Cloud operates a national network of diagnostic imaging centres,0.5,19.01,0.97,21.2,HIGH,1000000
129,KJK,Edge Labs Inc.,Health Care,Health Services,Edge Labs produces generic and branded pharmaceutical formulations,142.93,35.09,0.83,34.4,MEDIUM,1000000
130,DHV,White Therapeutics Inc.,Health Care,Diagnostics & Tools,White Therapeutics provides clinical research and drug development services,32.22,12.81,1.05,38.4,HIGH,1000000
131,FDYP,Prime Crest Inc.,Health Care,Pharmaceuticals,Prime Crest develops mRNA-based vaccine platforms,82.57,24.79,0.83,15.3,MEDIUM,1000000
132,BVMN,Ultra Partners Inc.,Health Care,Biotechnology,Ultra Partners manufactures continuous glucose monitoring devices,38.85,13.35,0.45,15.3,MEDIUM,1000000
133,ERNJ,Silver Point Inc.,Health Care,Medical Devices,Silver Point provides pharmacy benefit management services,0.5,3.7,0.1,22.4,MEDIUM,1000000
134,ZGAU,Nova Flow Inc.,Health Care,Health Services,Nova Flow develops gene therapy treatments for rare diseases,57.56,0.1,0.76,7.2,MEDIUM,1000000
135,JIQ,Vital Networks Inc.,Health Care,Diagnostics & Tools,Vital Networks supplies laboratory diagnostics equipment and reagents,57.77,24.26,1.08,22.4,LOW,1000000
136,AFUX,New Wave Inc.,Health Care,Pharmaceuticals,New Wave develops and commercialises oncology therapeutics,76.19,0.1,0.71,35.2,HIGH,1000000
137,HWB,Vector Hub Inc.,Health Care,Biotechnology,Vector Hub manufactures surgical robotics and minimally invasive devices,0.5,21.75,0.73,45.3,MEDIUM,1000000
138,IERJ,Scale Global Inc.,Health Care,Medical Devices,Scale Global operates a national network of diagnostic imaging centres,135.57,28.16,0.93,5.7,LOW,1000000
139,ICRH,Titan Smart Inc.,Health Care,Health Services,Titan Smart produces generic and branded pharmaceutical formulations,25.98,17.91,0.46,32.2,LOW,1000000
140,PLQU,Delta Cast Inc.,Health Care,Diagnostics & Tools,Delta Cast provides clinical research and drug development services,0.5,8.58,0.68,13.2,HIGH,1000000
141,DPU,Bright Data Inc.,Financials,Banks,Bright Data operates a diversified retail and commercial banking network,0.5,61.58,1.37,15.8,LOW,1000000
142,RYJ,Echo Pro Inc.,Financials,Insurance,Echo Pro provides property and casualty insurance products,21.82,62.15,1.17,15.9,LOW,1000000
143,TMK,Spark Crest Inc.,Financials,Asset Management,Spark Crest manages institutional and retail investment funds,0.5,80.51,1.04,16.1,MEDIUM,1000000
144,FDBE,Wind Net Inc.,Financials,Diversified Financials,Wind Net processes electronic payments and card transactions,405.05,0.1,1.41,12.9,LOW,1000000
145,OHH,Horizon Smart Inc.,Financials,Payment Processing,Horizon Smart provides investment banking and capital markets services,112.18,67.08,0.97,7.0,MEDIUM,1000000
146,UGM,Open Power Inc.,Financials,Banks,Open Power operates a consumer credit and personal loan platform,122.91,22.19,0.85,11.0,LOW,1000000
147,IZS,Silver Matrix Inc.,Financials,Insurance,Silver Matrix provides mortgage origination and servicing,347.61,84.88,1.09,5.6,LOW,1000000
148,MNDV,South Secure Inc.,Financials,Asset Management,South Secure manages private equity and alternative investments,157.75,67.85,0.76,9.4,LOW,1000000
149,NHE,Wide Finance Inc.,Financials,Diversified Financials,Wide Finance provides financial data and analytics to institutions,243.32,0.1,0.78,20.8,MEDIUM,1000000
150,DHNN,Hyper Reach Inc.,Financials,Payment Processing,Hyper Reach operates a digital-first neobank and payments platform,0.5,0.1,1.16,12.2,LOW,1000000
151,VAB,United Stream Inc.,Financials,Banks,United Stream operates a diversified retail and commercial banking network,73.25,0.1,0.79,10.3,LOW,1000000
152,XOQH,Lumen Tech Inc.,Financials,Insurance,Lumen Tech provides property and casualty insurance products,0.5,46.98,1.12,9.2,MEDIUM,1000000
153,MFPI,Wind Holdings Inc.,Financials,Asset Management,Wind Holdings manages institutional and retail investment funds,122.77,20.92,1.01,5.1,LOW,1000000
154,IMG,Lumen Dynamics Inc.,Financials,Diversified Financials,Lumen Dynamics processes electronic payments and card transactions,0.5,70.99,1.19,14.9,MEDIUM,1000000
155,VYS,Ion Sphere Inc.,Financials,Payment Processing,Ion Sphere provides investment banking and capital markets services,0.5,46.27,1.41,24.2,LOW,1000000
156,YNZ,Keystone Reach Inc.,Financials,Banks,Keystone Reach operates a consumer credit and personal loan platform,0.5,28.32,1.01,14.0,LOW,1000000
157,HACD,Main Solutions Inc.,Financials,Insurance,Main Solutions provides mortgage origination and servicing,97.33,29.54,0.91,16.0,LOW,1000000
158,OBNT,Micro Technologies Inc.,Financials,Asset Management,Micro Technologies manages private equity and alternative investments,299.37,117.27,1.35,12.6,LOW,1000000
159,OJDP,Pinnacle Partners Inc.,Financials,Diversified Financials,Pinnacle Partners provides financial data and analytics to institutions,10.87,0.1,1.1,13.3,LOW,1000000
160,PNI,True Holdings Inc.,Financials,Payment Processing,True Holdings operates a digital-first neobank and payments platform,53.21,0.1,1.37,23.4,LOW,1000000
161,SHVJ,Vision Crest Inc.,Financials,Banks,Vision Crest operates a diversified retail and commercial banking network,115.86,0.1,1.31,12.3,LOW,1000000
162,PGR,Sterling Pro Inc.,Financials,Insurance,Sterling Pro provides property and casualty insurance products,0.5,32.47,1.06,14.3,LOW,1000000
163,DRAY,Forge Enterprises Inc.,Financials,Asset Management,Forge Enterprises manages institutional and retail investment funds,166.68,87.35,1.22,13.4,LOW,1000000
164,WTBD,Jade Power Inc.,Financials,Diversified Financials,Jade Power processes electronic payments and card transactions,0.5,18.08,0.92,18.3,MEDIUM,1000000
165,ORWR,West Force Inc.,Financials,Payment Processing,West Force provides investment banking and capital markets services,63.35,88.88,0.95,11.3,MEDIUM,1000000
166,USRM,Ridge IQ Inc.,Financials,Banks,Ridge IQ operates a consumer credit and personal loan platform,42.49,0.1,0.62,9.5,LOW,1000000
167,XKIU,Hawk Group Inc.,Financials,Insurance,Hawk Group provides mortgage origination and servicing,299.53,79.08,1.53,15.6,LOW,1000000
168,FVHO,Metro Data Inc.,Financials,Asset Management,Metro Data manages private equity and alternative investments,62.61,41.1,1.3,17.2,LOW,1000000
169,QBK,Wind One Inc.,Financials,Diversified Financials,Wind One provides financial data and analytics to institutions,211.64,27.06,1.33,17.1,LOW,1000000
170,QWMQ,Mid Holdings Inc.,Financials,Payment Processing,Mid Holdings operates a digital-first neobank and payments platform,80.47,0.1,1.03,14.4,MEDIUM,1000000
171,XEW,Ideal Wave Inc.,Financials,Banks,Ideal Wave operates a diversified retail and commercial banking network,0.5,60.26,1.65,6.4,LOW,1000000
172,WAOC,Nord Group Inc.,Financials,Insurance,Nord Group provides property and casualty insurance products,0.5,9.03,0.78,14.6,MEDIUM,1000000
173,HVIT,United Force Inc.,Financials,Asset Management,United Force manages institutional and retail investment funds,7.78,60.7,1.04,12.3,LOW,1000000
174,EWX,Prime Partners Inc.,Financials,Diversified Financials,Prime Partners processes electronic payments and card transactions,340.26,104.77,0.95,16.6,LOW,1000000
175,AJL,Metro World Inc.,Financials,Payment Processing,Metro World provides investment banking and capital markets services,0.5,7.79,0.92,17.6,LOW,1000000
176,BDH,Pinnacle Shield Inc.,Financials,Banks,Pinnacle Shield operates a consumer credit and personal loan platform,30.2,0.1,0.63,12.9,MEDIUM,1000000
177,JFYM,Quest Source Inc.,Financials,Insurance,Quest Source provides mortgage origination and servicing,0.5,0.1,1.24,12.7,LOW,1000000
178,TRP,Edge Path Inc.,Financials,Asset Management,Edge Path manages private equity and alternative investments,196.4,55.37,0.76,15.0,MEDIUM,1000000
